"Rank","Player","Year","Pos","Team","AAV",""
"","Kirby Dach","2023","C","MTL","$3,362,500",""
"","Marco Scandella","2023","D","STL","$3,275,000",""
"","Cody Ceci","2023","D","EDM","$3,250,000",""
"","Tanner Pearson","2023","LW","VAN","$3,250,000",""
"","Mario Ferraro","2023","D","SJS","$3,250,000",""
"","Radek Faksa","2023","C","DAL","$3,250,000",""
"","Adam Lowry","2023","LW","WPG","$3,250,000",""
"","Kasperi Kapanen","2023","RW","STL","$3,200,000",""
"","Nicholas Paul","2023","C","TBL","$3,150,000",""
"","Matt Roy","2023","D","LAK","$3,150,000",""
"","Erik Haula","2023","C","NJD","$3,150,000",""
"","Jeff Carter","2023","C","PIT","$3,125,000",""
"","Kailer Yamamoto","2023","C","EDM","$3,100,000",""
"","Marcus Foligno","2023","LW","MIN","$3,100,000",""
"","Anthony Duclair","2023","LW","FLA","$3,000,000",""
"","Ryan Lindgren","2023","D","NYR","$3,000,000",""
"","Martin Necas","2023","C","CAR","$3,000,000",""
"","Scott Laughton","2023","C","PHI","$3,000,000",""
"","Nicolas Roy","2023","C","VGK","$3,000,000",""
"","Trevor Van Riemsdyk","2023","D","WAS","$3,000,000",""
"","Mike Reilly","2023","D","BOS","$3,000,000",""
"","Derek Forbort","2023","D","BOS","$3,000,000",""
"","Olli Maatta","2023","D","DET","$3,000,000",""
"","Justin Schultz","2023","D","SEA","$3,000,000",""
"","Jordan Greenway","2023","LW","BUF","$3,000,000",""
"","Dylan Demelo","2023","D","WPG","$3,000,000",""
"","Mathieu Joseph","2023","RW","OTT","$2,950,000",""
"","Colton Sissons","2023","C","NSH","$2,857,143",""
"","Brayden McNabb","2023","D","VGK","$2,850,000",""
"","Warren Foegele","2023","LW","EDM","$2,750,000",""
"","Brett Kulak","2023","D","EDM","$2,750,000",""
"","Anton Forsberg","2023","G","OTT","$2,750,000",""
"","Brock McGinn","2023","LW","ANA","$2,750,000",""
"","Andrew Peeke","2023","D","CBJ","$2,750,000",""
"","Jan Rutta","2023","D","PIT","$2,750,000",""
"","Chandler Stephenson","2023","C","VGK","$2,750,000",""
"","Zach Whitecloud","2023","D","VGK","$2,750,000",""
"","Luke Kunin","2023","C","SJS","$2,750,000",""
"","Kaapo Kahkonen","2023","G","SJS","$2,750,000",""
"","Ilya Lyubushkin","2023","D","BUF","$2,750,000",""
"","Karel Vejmelka","2023","G","ARI","$2,725,000",""
"","Gustav Forsling","2023","D","FLA","$2,666,667",""
"","Jason Dickinson","2023","C","CHI","$2,650,000",""
"","Sean Walker","2023","D","PHI","$2,650,000",""
"","Stuart Skinner","2023","G","EDM","$2,600,000",""
"","Adam Boqvist","2023","D","CBJ","$2,600,000",""
"","Casey Cizikas","2023","C","NYI","$2,500,000",""
"","Alexander Romanov","2023","D","NYI","$2,500,000",""
"","Oliver Kylington","2023","D","CGY","$2,500,000",""
"","Tucker Poolman","2023","D","VAN","$2,500,000",""
"","Sean Kuraly","2023","C","CBJ","$2,500,000",""
"","Alexander Barabanov","2023","RW","SJS","$2,500,000",""
"","Dante Fabbro","2023","D","NSH","$2,500,000",""
"","Oskar Lindblom","2023","LW","SJS","$2,500,000",""
"","Dominik Kubalik","2023","LW","DET","$2,500,000",""
"","Henri Jokiharju","2023","D","BUF","$2,500,000",""
"","Casey Mittelstadt","2023","C","BUF","$2,500,000",""
"","Zemgus Girgensons","2023","C","BUF","$2,500,000",""
"","Kyle Okposo","2023","RW","BUF","$2,500,000",""
"","Jacob Middleton","2023","D","MIN","$2,450,000",""
"","Jake Bean","2023","D","CBJ","$2,333,333",""
"","Dillon Dube","2023","C","CGY","$2,300,000",""
"","Nicolas Hague","2023","D","VGK","$2,294,150",""
"","Radim Simek","2023","D","SJS","$2,250,000",""
"","Daniel Vladar","2023","G","CGY","$2,200,000",""
"","Mason Appleton","2023","C","WPG","$2,166,667",""
"","Kaapo Kakko","2023","RW","NYR","$2,100,000",""
"","Calle Jarnkrok","2023","C","TOR","$2,100,000",""
"","Frederick Gaudreau","2023","C","MIN","$2,100,000",""
"","Pyotr Kochetkov","2023","G","CAR","$2,000,000",""
"","Alex Goligoski","2023","D","MIN","$2,000,000",""
"","Marcus Johansson","2023","C","MIN","$2,000,000",""
"","Pavel Francouz","2023","G","COL","$2,000,000",""
