"Rank","Player","Year","Pos","Team","AAV",""
"","Tracy Walker","2023","S","DET","$8,333,333",""
"","Jedrick Wills","2023","LT","CLE","$4,925,729",""
"","Ikem Ekwonu","2023","LT","CAR","$6,892,013",""
"","Jerry Hughes","2023","DE","HOU","$5,000,000",""
"","Christian Kirksey","2023","ILB","HOU","$5,000,000",""
"","DeVante Parker","2023","WR","NE","$7,625,000",""
"","Jonathan Jones","2023","CB","NE","$9,500,000",""
"","Jayron Kearse","2023","S","DAL","$5,000,000",""
"","Jalen Hurts","2023","QB","PHI","$51,000,000",""
"","Tyler Conklin","2023","TE","NYJ","$6,750,000",""
"","Josh Sweat","2023","DE","PHI","$13,333,333",""
"","Mitchell Trubisky","2023","QB","PIT","$5,625,000",""
"","Jonnu Smith","2023","TE","ATL","$12,500,000",""
"","Brandin Cooks","2023","WR","DAL","$19,882,000",""
"","Patrick Mekari","2023","G","BAL","$5,150,000",""
"","Zach Allen","2023","DE","DEN","$15,250,000",""
"","Mike McGlinchey","2023","RT","DEN","$17,500,000",""
"","Marcus Davenport","2023","DE","MIN","$13,000,000",""
"","Mike Hilton","2023","CB","CIN","$6,000,000",""
"","Justin Tucker","2023","K","BAL","$6,000,000",""
"","Ryan Jensen","2023","C","TB","$13,000,000",""
"","Jamal Agnew","2023","WR","JAC","$4,750,000",""
"","Jourdan Lewis","2023","CB","DAL","$4,500,000",""
"","Mekhi Becton","2023","RT","NYJ","$4,611,512",""
"","Roy Robertson-Harris","2023","DT","JAC","$7,200,000",""
"","Jawaan Taylor","2023","RT","KC","$20,000,000",""
"","Zay Jones","2023","WR","JAC","$8,000,000",""
"","Jaycee Horn","2023","CB","CAR","$5,278,037",""
"","Patrick Surtain II","2023","CB","DEN","$5,240,657",""
"","Taylor Heinicke","2023","QB","ATL","$7,000,000",""
"","Fletcher Cox","2023","DT","PHI","$10,000,000",""
"","Ka'imi Fairbairn","2023","K","HOU","$4,412,500",""
"","Romeo Okwara","2023","OLB","DET","$12,333,333",""
"","Chris Boswell","2023","K","PIT","$5,000,000",""
"","Steven Nelson","2023","CB","HOU","$4,500,000",""
"","Ted Karras","2023","C","CIN","$6,000,000",""
"","Evan Neal","2023","RT","NYG","$6,137,815",""
"","Dre Greenlaw","2023","LB","SF","$8,200,000",""
"","Graham Gano","2023","K","NYG","$4,666,667",""
"","De'Vondre Campbell","2023","ILB","GB","$10,000,000",""
"","Bobby Wagner","2023","ILB","SEA","$5,500,000",""
"","Robert Woods","2023","WR","HOU","$7,625,000",""
"","Kaleb McGary","2023","T","ATL","$11,500,000",""
"","Cordarrelle Patterson","2023","RB","ATL","$5,250,000",""
"","DeVonta Smith","2023","WR","PHI","$5,035,348",""
"","Levi Wallace","2023","CB","PIT","$4,000,000",""
"","Frankie Luvu","2023","OLB","CAR","$4,500,000",""
"","Morgan Moses","2023","RT","BAL","$5,000,000",""
"","Germaine Pratt","2023","LB","CIN","$6,750,000",""
"","Lucas Patrick","2023","G","CHI","$4,000,000",""
"","Rayshawn Jenkins","2023","S","JAC","$8,750,000",""
"","Mo Alie-Cox","2023","TE","IND","$5,850,000",""
"","Jalen Thompson","2023","S","ARI","$12,000,000",""
"","Samson Ebukam","2023","DE","IND","$8,000,000",""
"","Ben Powers","2023","G","DEN","$12,875,000",""
"","Kevin Zeitler","2023","G","BAL","$7,500,000",""
"","Austin Corbett","2023","G","CAR","$8,750,000",""
"","Justin Fields","2023","QB","CHI","$4,717,989",""
"","Jonathan Taylor","2023","RB","IND","$1,957,288",""
"","Harrison Butker","2023","K","KC","$4,055,000",""
"","Paris Johnson","2023","T","ARI","$7,013,114",""
"","Andrew Norwell","2023","G","WAS","$5,000,000",""
"","Charles Harris","2023","DE","DET","$6,500,000",""
"","Halapoulivaati Vaitai","2023","G","DET","$3,000,000",""
"","Sam Darnold","2023","QB","SF","$4,500,000",""
"","Ja'whaun Bentley","2023","ILB","NE","$3,000,000",""
"","Colt McCoy","2023","QB","ARI","$3,750,000",""
"","Riley Reiff","2023","T","NE","$5,000,000",""
"","T.J. Edwards","2023","LB","CHI","$6,500,000",""
"","Jordan Hicks","2023","ILB","MIN","$5,000,000",""
"","Bobby Okereke","2023","LB","NYG","$10,000,000",""
"","Parris Campbell","2023","WR","NYG","$4,700,000",""
"","Ed Oliver","2023","DT","BUF","$17,000,000",""
"","Larry Ogunjobi","2023","DE","PIT","$9,583,333",""
"","Jordan Whitehead","2023","S","NYJ","$5,250,000",""
"","Javon Kinlaw","2023","DT","SF","$3,872,173",""
"","Drake London","2023","WR","ATL","$5,383,617",""
"","Ryan Bates","2023","G","BUF","$4,250,000",""
"","Charles Cross","2023","LT","SEA","$5,345,907",""
"","Jimmie Ward","2023","FS","HOU","$6,500,000",""
"","Jordan Poyer","2023","FS","BUF","$6,250,000",""
"","Charles Omenihu","2023","DE","KC","$8,000,000",""
"","Trevon Diggs","2023","CB","DAL","$1,580,227",""
"","Jerry Jeudy","2023","WR","DEN","$3,798,244",""
"","Younghoe Koo","2023","K","ATL","$4,850,000",""
"","Marcus Epps","2023","S","LV","$6,000,000",""
"","Shaq Mason","2023","G","HOU","$12,000,000",""
"","Erik McCoy","2023","C","NO","$12,000,000",""
"","JuJu Smith-Schuster","2023","WR","NE","$8,500,000",""
"","Garrett Wilson","2023","WR","NYJ","$5,138,502",""
"","Micah Parsons","2023","OLB","DAL","$4,269,948",""
"","A.J. Terrell","2023","CB","ATL","$3,576,437",""
"","Tyree Wilson","2023","DE","LV","$6,251,374",""
"","Adrian Phillips","2023","FS","NE","$4,250,000",""
"","Rashawn Slater","2023","LT","LAC","$4,157,939",""
"","Jameis Winston","2023","QB","NO","$4,000,000",""
"","Devin Duvernay","2023","WR","BAL","$1,143,953",""
"","Cairo Santos","2023","K","CHI","$3,000,000",""
"","Chauncey Gardner-Johnson","2023","S","DET","$6,500,000",""
"","Kaden Elliss","2023","OLB","ATL","$7,166,667",""
